celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_n_judges,week1_total_score,week1_normalized,week1_pct,week2_n_judges,week2_total_score,week2_normalized,week2_pct,week3_n_judges,week3_total_score,week3_normalized,week3_pct,week4_n_judges,week4_total_score,week4_normalized,week4_pct,week5_n_judges,week5_total_score,week5_normalized,week5_pct,week6_n_judges,week6_total_score,week6_normalized,week6_pct,week7_n_judges,week7_total_score,week7_normalized,week7_pct,week8_n_judges,week8_total_score,week8_normalized,week8_pct,week9_n_judges,week9_total_score,week9_normalized,week9_pct,week10_n_judges,week10_total_score,week10_normalized,week10_pct,week11_n_judges,week11_total_score,week11_normalized,week11_pct
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,13.0,0.43333333333333335,43.33,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,17.0,0.5666666666666667,56.67,3,21.0,0.7,70.0,3,22.0,0.7333333333333333,73.33,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,22.0,0.7333333333333333,73.33,3,24.0,0.8,80.0,3,27.0,0.9,90.0,3,24.0,0.8,80.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,19.0,0.6333333333333333,63.33,3,26.0,0.8666666666666667,86.67,3,27.0,0.9,90.0,3,24.0,0.8,80.0,3,27.0,0.9,90.0,3,23.0,0.7666666666666667,76.67,3,27.0,0.9,90.0,3,26.5,0.8833333333333333,88.33,0,0.0,,,0,0.0,,,0,0.0,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,3,21.0,0.7,70.0,3,29.0,0.9666666666666667,96.67,3,22.0,0.7333333333333333,73.33,3,27.0,0.9,90.0,3,25.0,0.8333333333333334,83.33,3,24.0,0.8,80.0,3,28.5,0.95,95.0,3,27.0,0.9,90.0,3,29.5,0.9833333333333333,98.33,0,0.0,,,0,0.0,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,3,26.0,0.8666666666666667,86.67,3,21.0,0.7,70.0,3,22.0,0.7333333333333333,73.33,3,29.0,0.9666666666666667,96.67,3,27.0,0.9,90.0,3,28.0,0.9333333333333333,93.33,3,28.0,0.9333333333333333,93.33,3,28.5,0.95,95.0,3,29.5,0.9833333333333333,98.33,3,29.666600000000003,0.9888866666666668,98.89,0,0.0,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,3,24.0,0.8,80.0,3,24.0,0.8,80.0,3,19.0,0.6333333333333333,63.33,3,24.0,0.8,80.0,3,27.0,0.9,90.0,3,25.0,0.8333333333333334,83.33,3,28.5,0.95,95.0,3,27.0,0.9,90.0,3,29.5,0.9833333333333333,98.33,3,29.666600000000003,0.9888866666666668,98.89,0,0.0,,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,18.0,0.6,60.0,3,22.0,0.7333333333333333,73.33,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,22.0,0.7333333333333333,73.33,3,23.0,0.7666666666666667,76.67,3,22.0,0.7333333333333333,73.33,3,28.0,0.9333333333333333,93.33,3,27.0,0.9,90.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,15.0,0.5,50.0,3,21.0,0.7,70.0,3,25.0,0.8333333333333334,83.33,3,20.0,0.6666666666666666,66.67,3,24.0,0.8,80.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,16.0,0.5333333333333333,53.33,3,19.0,0.6333333333333333,63.33,3,21.0,0.7,70.0,3,22.0,0.7333333333333333,73.33,3,24.0,0.8,80.0,3,18.0,0.6,60.0,3,23.0,0.7666666666666667,76.67,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,12.0,0.4,40.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,17.0,0.5666666666666667,56.67,3,21.0,0.7,70.0,3,20.0,0.6666666666666666,66.67,3,16.0,0.5333333333333333,53.33,3,18.0,0.6,60.0,3,19.0,0.6333333333333333,63.33,3,22.5,0.75,75.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,3,21.0,0.7,70.0,3,22.0,0.7333333333333333,73.33,3,24.0,0.8,80.0,3,24.0,0.8,80.0,3,24.0,0.8,80.0,3,24.0,0.8,80.0,3,27.0,0.9,90.0,3,23.5,0.7833333333333333,78.33,3,29.0,0.9666666666666667,96.67,0,0.0,,,0,0.0,,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,16.0,0.5333333333333333,53.33,3,18.0,0.6,60.0,3,16.0,0.5333333333333333,53.33,3,15.0,0.5,50.0,3,13.0,0.43333333333333335,43.33,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,3,23.0,0.7666666666666667,76.67,3,27.0,0.9,90.0,3,21.0,0.7,70.0,3,21.0,0.7,70.0,3,28.0,0.9333333333333333,93.33,3,28.0,0.9333333333333333,93.33,3,29.5,0.9833333333333333,98.33,3,26.5,0.8833333333333333,88.33,3,30.0,1.0,100.0,3,28.333200000000005,0.9444400000000002,94.44,0,0.0,,
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,3,21.0,0.7,70.0,3,26.0,0.8666666666666667,86.67,3,23.0,0.7666666666666667,76.67,3,26.0,0.8666666666666667,86.67,3,30.0,1.0,100.0,3,28.0,0.9333333333333333,93.33,3,27.0,0.9,90.0,3,29.0,0.9666666666666667,96.67,3,29.5,0.9833333333333333,98.33,3,29.3332,0.9777733333333334,97.78,0,0.0,,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,19.0,0.6333333333333333,63.33,3,20.0,0.6666666666666666,66.67,3,21.0,0.7,70.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,19.0,0.6333333333333333,63.33,3,21.0,0.7,70.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,18.0,0.6,60.0,3,24.0,0.8,80.0,3,24.0,0.8,80.0,3,23.0,0.7666666666666667,76.67,3,21.0,0.7,70.0,3,23.0,0.7666666666666667,76.67,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,13.0,0.43333333333333335,43.33,3,21.0,0.7,70.0,3,21.0,0.7,70.0,3,21.0,0.7,70.0,3,17.0,0.5666666666666667,56.67,3,21.0,0.7,70.0,3,19.0,0.6333333333333333,63.33,3,19.0,0.6333333333333333,63.33,0,0.0,,,0,0.0,,,0,0.0,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,3,24.0,0.8,80.0,3,24.0,0.8,80.0,3,24.0,0.8,80.0,3,28.0,0.9333333333333333,93.33,3,25.0,0.8333333333333334,83.33,3,27.0,0.9,90.0,3,29.5,0.9833333333333333,98.33,3,27.5,0.9166666666666666,91.67,3,30.0,1.0,100.0,3,28.6665,0.95555,95.56,0,0.0,,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,15.0,0.5,50.0,3,21.0,0.7,70.0,3,24.0,0.8,80.0,3,16.0,0.5333333333333333,53.33,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,21.0,0.7,70.0,3,21.0,0.7,70.0,3,23.0,0.7666666666666667,76.67,3,27.0,0.9,90.0,3,26.0,0.8666666666666667,86.67,3,25.0,0.8333333333333334,83.33,3,25.5,0.85,85.0,3,25.5,0.85,85.0,0,0.0,,,0,0.0,,,0,0.0,,
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,8.0,9.0,9.0,,8.0,7.0,7.0,,8.0,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,24.0,0.8,80.0,3,21.0,0.7,70.0,3,27.0,0.9,90.0,3,26.0,0.8666666666666667,86.67,3,26.0,0.8666666666666667,86.67,3,22.0,0.7333333333333333,73.33,3,25.0,0.8333333333333334,83.33,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,
