celebrity_name,ballroom_partner,season,placement,results,week,total_score,n_judges,max_score,normalized,pct
Shannon Elizabeth,Derek Hough,6,6,Eliminated Week 7,1,21.0,3,30,0.7,70.0
Marissa Jaret Winokur,Tony Dovolani,6,4,Eliminated Week 9,1,18.0,3,30,0.6,60.0
Jason Taylor,Edyta Sliwinska,6,2,2nd Place,1,22.0,3,30,0.7333,73.33
Kristi Yamaguchi,Mark Ballas,6,1,1st Place,1,27.0,3,30,0.9,90.0
Monica Seles,Jonathan Roberts,6,11,Eliminated Week 2,1,15.0,3,30,0.5,50.0
Penn Jillette,Kym Johnson,6,12,Eliminated Week 2,1,16.0,3,30,0.5333,53.33
Adam Carolla,Julianne Hough,6,9,Eliminated Week 4,1,15.0,3,30,0.5,50.0
Mario,Karina Smirnoff,6,5,Eliminated Week 8,1,24.0,3,30,0.8,80.0
Ted McGinley,Inna Brayer,7,12,Eliminated Week 1,1,18.5,3,30,0.6167,61.67
Cloris Leachman,Corky Ballas,7,7,Eliminated Week 6,1,16.0,3,30,0.5333,53.33
Susan Lucci,Tony Dovolani,7,6,Eliminated Week 7,1,18.5,3,30,0.6167,61.67
Cody Linley,Julianne Hough,7,4,Eliminated Week 9,1,20.5,3,30,0.6833,68.33
Misty May-Treanor,Maksim Chmerkoskiy,7,10,Withdrew,1,21.0,3,30,0.7,70.0
Maurice Greene,Cheryl Burke,7,5,Eliminated Week 8,1,19.5,3,30,0.65,65.0
Warren Sapp,Kym Johnson,7,2,2nd Place,1,21.5,3,30,0.7167,71.67
Jeffrey Ross,Edyta Sliwinska,7,13,Eliminated Week 1,1,12.0,3,30,0.4,40.0
Toni Braxton,Alec Mazo,7,8,Eliminated Week 5,1,22.5,3,30,0.75,75.0
Lance Bass,Lacey Schwimmer,7,3,3rd Place,1,21.5,3,30,0.7167,71.67
Kim Kardashian,Mark Ballas,7,11,Eliminated Week 2,1,18.5,3,30,0.6167,61.67
Rocco DiSpirito,Karina Smirnoff,7,9,Eliminated Week 4,1,17.5,3,30,0.5833,58.33
Brooke Burke,Derek Hough,7,1,1st Place,1,24.5,3,30,0.8167,81.67
Gilles Marini,Cheryl Burke,8,2,2nd Place,1,24.0,3,30,0.8,80.0
Denise Richards,Maksim Chmerkoskiy,8,12,Eliminated Week 3,1,18.0,3,30,0.6,60.0
David Alan Grier,Kym Johnson,8,9,Eliminated Week 5,1,19.0,3,30,0.6333,63.33
Lawrence Taylor,Edyta Sliwinska,8,7,Eliminated Week 7,1,16.0,3,30,0.5333,53.33
Ty Murray,Chelsie Hightower,8,4,Eliminated Week 10,1,14.0,3,30,0.4667,46.67
Shawn Johnson,Mark Ballas,8,1,1st Place,1,23.0,3,30,0.7667,76.67
Steve Wozniak,Karina Smirnoff,8,10,Eliminated Week 4,1,13.0,3,30,0.4333,43.33
Belinda Carlisle,Jonathan Roberts,8,13,Eliminated Week 2,1,17.0,3,30,0.5667,56.67
Chuck Wicks,Julianne Hough,8,6,Eliminated Week 8,1,20.0,3,30,0.6667,66.67
Lil' Kim,Derek Hough,8,5,Eliminated Week 9,1,21.0,3,30,0.7,70.0
Steve-O,Lacey Schwimmer,8,8,Eliminated Week 6,1,17.0,3,30,0.5667,56.67
Holly Madison,Dmitry Chaplin,8,11,Eliminated Week 4,1,18.0,3,30,0.6,60.0
Melissa Rycroft,Tony Dovolani,8,3,3rd Place,1,23.0,3,30,0.7667,76.67
Ashley Hamiliton,Edyta Sliwinska,9,16,Eliminated Week 1,1,18.9999,3,30,0.6333,63.33
Debi Mazar,Maksim Chmerkoskiy,9,12,Eliminated Week 3,1,22.0,3,30,0.7333,73.33
Melissa Joan Hart,Mark Ballas,9,9,Eliminated Week 6,1,24.0,3,30,0.8,80.0
Mark Dacascos,Lacey Schwimmer,9,6,Eliminated Week 7,1,28.9998,3,30,0.9667,96.67
Chuck Liddell,Anna Trebunskaya,9,11,Eliminated Week 4,1,22.0,3,30,0.7333,73.33
Natalie Coughlin,Alec Mazo,9,10,Eliminated Week 5,1,26.9998,3,30,0.9,90.0
Louie Vito,Chelsie Hightower,9,8,Eliminated Week 6,1,26.9998,3,30,0.9,90.0
Michael Irvin,Anna Demidova,9,7,Eliminated Week 7,1,19.0,3,30,0.6333,63.33
Joanna Krupa,Derek Hough,9,4,Eliminated Week 9,1,33.9999,3,30,1.1333,113.33
Kathy Ireland,Tony Dovolani,9,14,Eliminated Week 2,1,19.9999,3,30,0.6667,66.67
Tom DeLay,Cheryl Burke,9,13,Withdrew,1,19.9999,3,30,0.6667,66.67
Macy Gray,Jonathan Roberts,9,15,Eliminated Week 1,1,18.9999,3,30,0.6333,63.33
Aaron Carter,Karina Smirnoff,9,5,Eliminated Week 8,1,31.999899999999997,3,30,1.0667,106.67
Mya,Dmitry Chaplin,9,2,2nd Place,1,30.999899999999997,3,30,1.0333,103.33
Donny Osmond,Kym Johnson,9,1,1st Place,1,29.999899999999997,3,30,1.0,100.0
Kelly Osbourne,Louis van Amstel,9,3,3rd Place,1,30.9998,3,30,1.0333,103.33
Aiden Turner,Edyta Sliwinska,10,9,Eliminated Week 4,1,15.0,3,30,0.5,50.0
Shannen Doherty,Mark Ballas,10,11,Eliminated Week 2,1,18.0,3,30,0.6,60.0
Niecy Nash,Louis van Amstel,10,5,Eliminated Week 8,1,18.0,3,30,0.6,60.0
Buzz Aldrin,Ashly DelGrosso,10,10,Eliminated Week 3,1,14.0,3,30,0.4667,46.67
Chad Ochocinco,Cheryl Burke,10,4,Eliminated Week 9,1,18.0,3,30,0.6,60.0
Evan Lysacek,Anna Trebunskaya,10,2,2nd Place,1,23.0,3,30,0.7667,76.67
Pamela Anderson,Damian Whitewood,10,6,Eliminated Week 7,1,21.0,3,30,0.7,70.0
Nicole Scherzinger,Derek Hough,10,1,1st Place,1,25.0,3,30,0.8333,83.33
Erin Andrews,Maksim Chmerkoskiy,10,3,3rd Place,1,21.0,3,30,0.7,70.0
Kate Gosselin,Tony Dovolani,10,8,Eliminated Week 5,1,16.0,3,30,0.5333,53.33
Jake Pavelka,Chelsie Hightower,10,7,Eliminated Week 6,1,20.0,3,30,0.6667,66.67
David Hasselhoff,Kym Johnson,11,12,Eliminated Week 1,1,15.0,3,30,0.5,50.0
Florence Henderson,Corky Ballas,11,8,Eliminated Week 5,1,18.0,3,30,0.6,60.0
Kyle Massey,Lacey Schwimmer,11,2,2nd Place,1,23.0,3,30,0.7667,76.67
Jennifer Grey,Derek Hough,11,1,1st Place,1,24.0,3,30,0.8,80.0
Rick Fox,Cheryl Burke,11,6,Eliminated Week 7,1,22.0,3,30,0.7333,73.33
Kurt Warner,Anna Trebunskaya,11,5,Eliminated Week 8,1,19.0,3,30,0.6333,63.33
Margaret Cho,Louis van Amstel,11,10,Eliminated Week 3,1,15.0,3,30,0.5,50.0
Michael Bolton,Chelsie Hightower,11,11,Eliminated Week 2,1,16.0,3,30,0.5333,53.33
Brandy,Maksim Chmerkoskiy,11,4,Eliminated Week 9,1,23.0,3,30,0.7667,76.67
The Situation,Karina Smirnoff,11,9,Eliminated Week 4,1,15.0,3,30,0.5,50.0
Audrina Patridge,Tony Dovolani,11,7,Eliminated Week 6,1,19.0,3,30,0.6333,63.33
Bristol Palin,Mark Ballas,11,3,3rd Place,1,18.0,3,30,0.6,60.0
Ralph Macchio,Karina Smirnoff,12,4,Eliminated Week 9,1,24.0,3,30,0.8,80.0
Chelsea Kane,Mark Ballas,12,3,3rd Place,1,21.0,3,30,0.7,70.0
Kirstie Alley,Maksim Chmerkoskiy,12,2,2nd Place,1,23.0,3,30,0.7667,76.67
Hines Ward,Kym Johnson,12,1,1st Place,1,21.0,3,30,0.7,70.0
Sugar Ray Leonard,Anna Trebunskaya,12,9,Eliminated Week 4,1,17.0,3,30,0.5667,56.67
Chris Jericho,Cheryl Burke,12,7,Eliminated Week 6,1,19.0,3,30,0.6333,63.33
Petra Nemcova,Dmitry Chaplin,12,8,Eliminated Week 5,1,18.0,3,30,0.6,60.0
Mike Catherwood,Lacey Schwimmer,12,11,Eliminated Week 2,1,13.0,3,30,0.4333,43.33
Romeo,Chelsie Hightower,12,5,Eliminated Week 8,1,19.0,3,30,0.6333,63.33
Wendy Williams,Tony Dovolani,12,10,Eliminated Week 3,1,14.0,3,30,0.4667,46.67
Kendra Wilkinson,Louis van Amstel,12,6,Eliminated Week 7,1,18.0,3,30,0.6,60.0
Elisabetta Canalis,Valentin Chmerkovskiy,13,11,Eliminated Week 2,1,15.0,3,30,0.5,50.0
David Arquette,Kym Johnson,13,6,Eliminated Week 7,1,18.0,3,30,0.6,60.0
Ricki Lake,Derek Hough,13,3,3rd Place,1,20.0,3,30,0.6667,66.67
J.R. Martinez,Karina Smirnoff,13,1,1st Place,1,22.0,3,30,0.7333,73.33
Metta World Peace (Ron),Peta Murgatroyd,13,12,Eliminated Week 1,1,14.0,3,30,0.4667,46.67
Hope Solo,Maksim Chmerkoskiy,13,4,Eliminated Week 9,1,21.0,3,30,0.7,70.0
Chynna Phillips,Tony Dovolani,13,9,Eliminated Week 4,1,22.0,3,30,0.7333,73.33
Kristin Cavallari,Mark Ballas,13,10,Eliminated Week 3,1,19.0,3,30,0.6333,63.33
Carson Kressley,Anna Trebunskaya,13,8,Eliminated Week 5,1,17.0,3,30,0.5667,56.67
Chaz Bono,Lacey Schwimmer,13,7,Eliminated Week 6,1,17.0,3,30,0.5667,56.67
Nancy Grace,Tristan MacManus,13,5,Eliminated Week 8,1,16.0,3,30,0.5333,53.33
Rob Kardashian,Cheryl Burke,13,2,2nd Place,1,16.0,3,30,0.5333,53.33
William Levy,Cheryl Burke,14,3,3rd Place,1,24.0,3,30,0.8,80.0
Jack Wagner,Anna Trebunskaya,14,11,Eliminated Week 3,1,23.0,3,30,0.7667,76.67
Sherri Sheperd,Valentin Chmerkovskiy,14,10,Eliminated Week 4,1,23.0,3,30,0.7667,76.67
Jaleel White,Kym Johnson,14,7,Eliminated Week 7,1,26.0,3,30,0.8667,86.67
Roshon Fegan,Chelsie Hightower,14,6,Eliminated Week 8,1,23.0,3,30,0.7667,76.67
Melissa Gilbert,Maksim Chmerkoskiy,14,5,Eliminated Week 8,1,20.0,3,30,0.6667,66.67
Martina Navratilova,Tony Dovolani,14,12,Eliminated Week 2,1,20.0,3,30,0.6667,66.67
Donald Driver,Peta Murgatroyd,14,1,1st Place,1,21.0,3,30,0.7,70.0
Gavin DeGraw,Karina Smirnoff,14,9,Eliminated Week 5,1,20.0,3,30,0.6667,66.67
Gladys Knight,Tristan MacManus,14,8,Eliminated Week 6,1,23.0,3,30,0.7667,76.67
Katherine Jenkins,Mark Ballas,14,2,2nd Place,1,26.0,3,30,0.8667,86.67
Maria Menounos,Derek Hough,14,4,Eliminated Week 9,1,21.0,3,30,0.7,70.0
Gilles Marini,Peta Murgatroyd,15,6,Eliminated Week 8,1,24.0,3,30,0.8,80.0
Sabrina Bryan,Louis van Amstel,15,8,Eliminated Week 6,1,22.5,3,30,0.75,75.0
Kirstie Alley,Maksim Chmerkoskiy,15,7,Eliminated Week 8,1,19.0,3,30,0.6333,63.33
Kelly Monaco,Valentin Chmerkovskiy,15,3,3rd Place,1,21.5,3,30,0.7167,71.67
Apolo Anton Ohno,Karina Smirnoff,15,5,Eliminated Week 9,1,22.0,3,30,0.7333,73.33
Emmitt Smith,Cheryl Burke,15,4,Eliminated Week 9,1,24.5,3,30,0.8167,81.67
Shawn Johnson,Derek Hough,15,2,2nd Place,1,22.0,3,30,0.7333,73.33
Pamela Anderson,Tristan MacManus,15,13,Eliminated Week 1,1,17.0,3,30,0.5667,56.67
Helio Castroneves,Chelsie Hightower,15,10,Eliminated Week 3,1,21.5,3,30,0.7167,71.67
Joey Fatone,Kym Johnson,15,12,Eliminated Week 2,1,20.5,3,30,0.6833,68.33
Drew Lachey,Anna Trebunskaya,15,11,Eliminated Week 3,1,21.5,3,30,0.7167,71.67
Bristol Palin,Mark Ballas,15,9,Eliminated Week 4,1,19.5,3,30,0.65,65.0
Melissa Rycroft,Tony Dovolani,15,1,1st Place,1,21.0,3,30,0.7,70.0
Ingo Rademacher,Kym Johnson,16,5,Eliminated Week 9,1,20.0,3,30,0.6667,66.67
Zendaya,Valentin Chmerkovskiy,16,2,2nd Place,1,24.0,3,30,0.8,80.0
Dorothy Hamill,Tristan MacManus,16,12,Withdrew,1,21.0,3,30,0.7,70.0
Victor Ortiz,Lindsay Arnold,16,8,Eliminated Week 6,1,18.0,3,30,0.6,60.0
Alexandra Raisman,Mark Ballas,16,4,Eliminated Week 10,1,21.0,3,30,0.7,70.0
Jacoby Jones,Karina Smirnoff,16,3,3rd Place,1,20.0,3,30,0.6667,66.67
D. L. Hughley,Cheryl Burke,16,9,Eliminated Week 5,1,12.0,3,30,0.4,40.0
Andy Dick,Sharna Burgess,16,7,Eliminated Week 7,1,17.0,3,30,0.5667,56.67
Wynonna Judd,Tony Dovolani,16,11,Eliminated Week 3,1,18.0,3,30,0.6,60.0
Kellie Pickler,Derek Hough,16,1,1st Place,1,21.0,3,30,0.7,70.0
Lisa Vanderpump,Gleb Savchenko,16,10,Eliminated Week 4,1,18.0,3,30,0.6,60.0
Sean Lowe,Peta Murgatroyd,16,6,Eliminated Week 8,1,19.0,3,30,0.6333,63.33
Valerie Harper,Tristan MacManus,17,10,Eliminated Week 4,1,21.0,3,30,0.7,70.0
Brant Daugherty,Peta Murgatroyd,17,7,Eliminated Week 8,1,22.0,3,30,0.7333,73.33
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,17,6,Eliminated Week 9,1,24.0,3,30,0.8,80.0
Leah Remini,Tony Dovolani,17,5,Eliminated Week 10,1,21.0,3,30,0.7,70.0
Corbin Bleu,Karina Smirnoff,17,2,2nd Place,1,24.0,3,30,0.8,80.0
Amber Riley,Derek Hough,17,1,1st Place,1,27.0,3,30,0.9,90.0
Keyshawn Johnson,Sharna Burgess,17,12,Eliminated Week 2,1,17.0,3,30,0.5667,56.67
Bill Engvall,Emma Slater,17,4,Eliminated Week 11,1,18.0,3,30,0.6,60.0
Christina Milian,Mark Ballas,17,9,Eliminated Week 5,1,22.0,3,30,0.7333,73.33
"Nicole ""Snooki"" Polizzi",Sasha Farber,17,8,Eliminated Week 7,1,23.0,3,30,0.7667,76.67
Jack Osbourne,Cheryl Burke,17,3,3rd Place,1,23.0,3,30,0.7667,76.67
Bill Nye,Tyne Stecklein,17,11,Eliminated Week 3,1,14.0,3,30,0.4667,46.67
Billy Dee Williams,Emma Slater,18,10,Withdrew,1,15.0,3,30,0.5,50.0
Danica McKellar,Valentin Chmerkovskiy,18,6,Eliminated Week 8,1,24.0,3,30,0.8,80.0
James Maslow,Peta Murgatroyd,18,4,Eliminated Week 10,1,21.0,3,30,0.7,70.0
Candace Cameron Bure,Mark Ballas,18,3,3rd Place,1,25.0,3,30,0.8333,83.33
Sean Avery,Karina Smirnoff,18,11,Eliminated Week 2,1,20.0,3,30,0.6667,66.67
Diana Nyad,Henry Byalikov,18,12,Eliminated Week 2,1,18.0,3,30,0.6,60.0
Charlie White,Sharna Burgess,18,5,Eliminated Week 9,1,27.0,3,30,0.9,90.0
Amy Purdy,Derek Hough,18,2,2nd Place,1,24.0,3,30,0.8,80.0
Meryl Davis,Maksim Chmerkoskiy,18,1,1st Place,1,24.0,3,30,0.8,80.0
Drew Carey,Cheryl Burke,18,8,Eliminated Week 6,1,21.0,3,30,0.7,70.0
Cody Simpson,Witney Carson,18,9,Eliminated Week 5,1,22.0,3,30,0.7333,73.33
NeNe Leakes,Tony Dovolani,18,7,Eliminated Week 7,1,21.0,3,30,0.7,70.0
Antonio Sabato Jr.,Cheryl Burke,19,8,Eliminated Week 7,1,25.0,4,40,0.625,62.5
Jonathan Bennett,Allison Holker,19,9,Eliminated Week 6,1,30.0,4,40,0.75,75.0
Lea Thompson,Artem Chigvintsev,19,6,Eliminated Week 9,1,32.0,4,40,0.8,80.0
Janel Parrish,Valentin Chmerkovskiy,19,3,3rd Place,1,29.0,4,40,0.725,72.5
Alfonso Ribeiro,Witney Carson,19,1,1st Place,1,36.0,4,40,0.9,90.0
Lolo Jones,Keo Motsepe,19,13,Eliminated Week 1,1,22.0,4,40,0.55,55.0
Randy Couture,Karina Smirnoff,19,11,Eliminated Week 3,1,31.0,4,40,0.775,77.5
Tommy Chong,Peta Murgatroyd,19,5,Eliminated Week 10,1,27.0,4,40,0.675,67.5
Betsey Johnson,Tony Dovolani,19,10,Eliminated Week 4,1,20.0,4,40,0.5,50.0
Michael Waltrip,Emma Slater,19,7,Eliminated Week 8,1,25.0,4,40,0.625,62.5
Tavis Smiley,Sharna Burgess,19,12,Eliminated Week 2,1,29.0,4,40,0.725,72.5
Bethany Mota,Derek Hough,19,4,Eliminated Week 11,1,32.0,4,40,0.8,80.0
Sadie Robertson,Mark Ballas,19,2,2nd Place,1,34.0,4,40,0.85,85.0
Suzanne Somers,Tony Dovolani,20,9,Eliminated Week 5,1,25.0,4,40,0.625,62.5
Willow Shields,Mark Ballas,20,7,Eliminated Week 7,1,25.0,4,40,0.625,62.5
Riker Lynch,Allison Holker,20,2,2nd Place,1,31.0,4,40,0.775,77.5
Rumer Willis,Valentin Chmerkovskiy,20,1,1st Place,1,32.0,4,40,0.8,80.0
Nastia Liukin,Derek Hough,20,4,Eliminated Week 9,1,30.0,4,40,0.75,75.0
Michael Sam,Peta Murgatroyd,20,10,Eliminated Week 4,1,26.0,4,40,0.65,65.0
Robert Herjavec,Kym Johnson,20,6,Eliminated Week 8,1,28.0,4,40,0.7,70.0
Charlotte McKinney,Keo Motsepe,20,11,Eliminated Week 3,1,22.0,4,40,0.55,55.0
Noah Galloway,Sharna Burgess,20,3,3rd Place,1,26.0,4,40,0.65,65.0
Redfoo,Emma Slater,20,12,Eliminated Week 2,1,22.0,4,40,0.55,55.0
Patti LaBelle,Artem Chigvintsev,20,8,Eliminated Week 6,1,25.0,4,40,0.625,62.5
Chris Soules,Witney Carson,20,5,Eliminated Week 8,1,26.0,4,40,0.65,65.0
Gary Busey,Anna Trebunskaya,21,10,Eliminated Week 4,1,15.0,3,30,0.5,50.0
Alexa PenaVega,Mark Ballas,21,6,Eliminated Week 9,1,22.0,3,30,0.7333,73.33
Carlos PenaVega,Witney Carson,21,4,Eliminated Week 11,1,23.0,3,30,0.7667,76.67
Victor Espinoza,Karina Smirnoff,21,12,Eliminated Week 2,1,15.0,3,30,0.5,50.0
Alek Skarlatos,Lindsay Arnold,21,3,3rd Place,1,22.0,3,30,0.7333,73.33
Chaka Khan,Keo Motsepe,21,13,Eliminated Week 2,1,13.0,3,30,0.4333,43.33
Andy Grammer,Allison Holker,21,7,Eliminated Week 8,1,21.0,3,30,0.7,70.0
Tamar Braxton,Valentin Chmerkovskiy,21,5,Withdrew,1,23.0,3,30,0.7667,76.67
Nick Carter,Sharna Burgess,21,2,2nd Place,1,24.0,3,30,0.8,80.0
Hayes Grier,Emma Slater,21,8,Eliminated Week 7,1,21.0,3,30,0.7,70.0
Bindi Irwin,Derek Hough,21,1,1st Place,1,24.0,3,30,0.8,80.0
Kim Zolciak-Biermann,Tony Dovolani,21,11,Withdrew,1,12.0,3,30,0.4,40.0
Paula Deen,Louis van Amstel,21,9,Eliminated Week 6,1,15.0,3,30,0.5,50.0
Mischa Barton,Artem Chigvintsev,22,11,Eliminated Week 3,1,16.0,3,30,0.5333,53.33
Kim Fields,Sasha Farber,22,8,Eliminated Week 7,1,20.0,3,30,0.6667,66.67
Jodie Sweetin,Keo Motsepe,22,6,Eliminated Week 8,1,20.0,3,30,0.6667,66.67
Doug Flutie,Karina Smirnoff,22,9,Eliminated Week 6,1,15.0,3,30,0.5,50.0
Von Miller,Witney Carson,22,7,Eliminated Week 7,1,21.0,3,30,0.7,70.0
Antonio Brown,Sharna Burgess,22,5,Eliminated Week 9,1,21.0,3,30,0.7,70.0
Paige VanZant,Mark Ballas,22,2,2nd Place,1,21.0,3,30,0.7,70.0
Geraldo Rivera,Edyta Sliwinska,22,12,Eliminated Week 2,1,13.0,3,30,0.4333,43.33
Nyle DiMarco,Peta Murgatroyd,22,1,1st Place,1,23.0,3,30,0.7667,76.67
Ginger Zee,Valentin Chmerkovskiy,22,3,3rd Place,1,23.0,3,30,0.7667,76.67
Wanya Morris,Lindsay Arnold,22,4,Eliminated Week 9,1,23.0,3,30,0.7667,76.67
Marla Maples,Tony Dovolani,22,10,Eliminated Week 4,1,21.0,3,30,0.7,70.0
Jake T. Austin,Jenna Johnson,23,13,Eliminated Week 2,1,22.0,4,40,0.55,55.0
Maureen McCormick,Artem Chigvintsev,23,8,Eliminated Week 7,1,22.0,4,40,0.55,55.0
Marilu Henner,Derek Hough,23,6,Eliminated Week 9,1,27.0,4,40,0.675,67.5
Ryan Lochte,Cheryl Burke,23,7,Eliminated Week 8,1,24.0,4,40,0.6,60.0
Calvin Johnson Jr.,Lindsay Arnold,23,3,3rd Place,1,26.0,4,40,0.65,65.0
Laurie Hernandez,Valentin Chmerkovskiy,23,1,1st Place,1,31.0,4,40,0.775,77.5
Amber Rose,Maksim Chmerkoskiy,23,9,Eliminated Week 6,1,24.0,4,40,0.6,60.0
Rick Perry,Emma Slater,23,12,Eliminated Week 3,1,20.0,4,40,0.5,50.0
James Hinchcliffe,Sharna Burgess,23,2,2nd Place,1,31.0,4,40,0.775,77.5
Babyface,Allison Holker,23,11,Eliminated Week 4,1,26.0,4,40,0.65,65.0
Vanilla Ice,Witney Carson,23,10,Eliminated Week 4,1,25.0,4,40,0.625,62.5
Jana Kramer,Gleb Savchenko,23,4,Eliminated Week 11,1,27.0,4,40,0.675,67.5
Terra Jole,Sasha Farber,23,5,Eliminated Week 10,1,25.0,4,40,0.625,62.5
Charo,Keo Motsepe,24,11,Eliminated Week 3,1,21.0,4,40,0.525,52.5
Mr. T,Kym Herjavec,24,10,Eliminated Week 4,1,20.0,4,40,0.5,50.0
Heather Morris,Maksim Chmerkoskiy,24,8,Eliminated Week 6,1,28.0,4,40,0.7,70.0
Nancy Kerrigan,Artem Chigvintsev,24,7,Eliminated Week 7,1,28.0,4,40,0.7,70.0
Bonner Bolton,Sharna Burgess,24,5,Eliminated Week 8,1,22.0,4,40,0.55,55.0
Simone Biles,Sasha Farber,24,4,Eliminated Week 9,1,32.0,4,40,0.8,80.0
