season,week,rule_used,actual_eliminated,elim_under_pct,elim_under_rank,elim_judge_choice_pct,elim_judge_choice_rank,match_same_method,match_cross_method,elim_judge_pct_bt,elim_judge_rank_bt
3,7,percentage,Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer,True,True,Jerry Springer,Jerry Springer
3,8,percentage,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman,True,True,Monique Coleman,Monique Coleman
3,9,percentage,,Joey Lawrence,Emmitt Smith,Joey Lawrence,Emmitt Smith,False,False,Joey Lawrence,Emmitt Smith
3,10,percentage,,Emmitt Smith,Emmitt Smith,Emmitt Smith,Emmitt Smith,False,False,Emmitt Smith,Emmitt Smith
4,1,percentage,,Billy Ray Cyrus,Shandi Finnessey,Billy Ray Cyrus,Heather Mills,False,False,Billy Ray Cyrus,Heather Mills
4,2,percentage,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,Clyde Drexler,Paulina Porizkova,True,True,Clyde Drexler,Paulina Porizkova
4,3,percentage,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,Clyde Drexler,Shandi Finnessey,True,True,Clyde Drexler,Shandi Finnessey
4,4,percentage,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,Clyde Drexler,Clyde Drexler,True,True,Clyde Drexler,Clyde Drexler
4,5,percentage,Clyde Drexler,Clyde Drexler,Clyde Drexler,Clyde Drexler,Clyde Drexler,True,True,Clyde Drexler,Clyde Drexler
4,6,percentage,Heather Mills,Heather Mills,Heather Mills,John Ratzenberger,Heather Mills,True,True,John Ratzenberger,Heather Mills
4,7,percentage,John Ratzenberger,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,John Ratzenberger,True,True,Billy Ray Cyrus,John Ratzenberger
4,8,percentage,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,True,True,Billy Ray Cyrus,Billy Ray Cyrus
4,9,percentage,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering,True,True,Ian Ziering,Ian Ziering
4,10,percentage,,Laila Ali,Laila Ali,Laila Ali,Laila Ali,False,False,Laila Ali,Laila Ali
5,1,percentage,Josie Maran,Josie Maran,Josie Maran,Josie Maran,Josie Maran,True,True,Josie Maran,Josie Maran
5,2,percentage,Albert Reed,Albert Reed,Albert Reed,Wayne Newton,Albert Reed,True,True,Wayne Newton,Albert Reed
5,3,percentage,Wayne Newton,Wayne Newton,Wayne Newton,Wayne Newton,Wayne Newton,True,True,Wayne Newton,Wayne Newton
5,4,percentage,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Mark Cuban,Floyd Mayweather Jr. ,True,True,Mark Cuban,Floyd Mayweather Jr. 
5,5,percentage,Mark Cuban,Mark Cuban,Mark Cuban,Mark Cuban,Mark Cuban,True,True,Mark Cuban,Mark Cuban
5,6,percentage,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,Jane Seymour,Jane Seymour,True,True,Jane Seymour,Jane Seymour
5,7,percentage,Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour,True,True,Jane Seymour,Jane Seymour
5,8,percentage,Cameron Mathison,Cameron Mathison,Cameron Mathison,Jennie Garth,Jennie Garth,True,True,Jennie Garth,Jennie Garth
5,9,percentage,Jennie Garth,Jennie Garth,Jennie Garth,Marie Osmond,Marie Osmond,True,True,Marie Osmond,Marie Osmond
5,10,percentage,,Marie Osmond,Helio Castroneves,Marie Osmond,Marie Osmond,False,False,Marie Osmond,Marie Osmond
6,1,percentage,,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,False,False,Adam Carolla,Adam Carolla
6,2,percentage,Monica Seles,Monica Seles,Monica Seles,Monica Seles,Monica Seles,True,True,Monica Seles,Monica Seles
6,3,percentage,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,Marissa Jaret Winokur,Steve Guttenberg,True,True,Marissa Jaret Winokur,Steve Guttenberg
6,4,percentage,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,True,True,Adam Carolla,Adam Carolla
6,5,percentage,Priscilla Presley,Priscilla Presley,Priscilla Presley,Priscilla Presley,Priscilla Presley,True,True,Priscilla Presley,Priscilla Presley
6,6,percentage,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin,True,True,Marlee Matlin,Marlee Matlin
6,7,percentage,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,Cristian de la Fuente,Shannon Elizabeth,True,True,Cristian de la Fuente,Shannon Elizabeth
6,8,percentage,Mario,Mario,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,False,Marissa Jaret Winokur,Marissa Jaret Winokur
6,9,percentage,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,True,Marissa Jaret Winokur,Marissa Jaret Winokur
6,10,percentage,,Cristian de la Fuente,Cristian de la Fuente,Cristian de la Fuente,Cristian de la Fuente,False,False,Cristian de la Fuente,Cristian de la Fuente
7,1,percentage,Ted McGinley,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,False,False,Jeffrey Ross,Jeffrey Ross
7,2,percentage,Kim Kardashian,Kim Kardashian,Kim Kardashian,Cloris Leachman,Kim Kardashian,True,True,Cloris Leachman,Kim Kardashian
7,3,percentage,,Cloris Leachman,Rocco DiSpirito,Cloris Leachman,Rocco DiSpirito,False,False,Cloris Leachman,Rocco DiSpirito
7,4,percentage,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,True,True,Rocco DiSpirito,Rocco DiSpirito
7,5,percentage,Toni Braxton,Toni Braxton,Toni Braxton,Toni Braxton,Lance Bass,True,True,Toni Braxton,Lance Bass
7,6,percentage,Cloris Leachman,Cloris Leachman,Cloris Leachman,Cloris Leachman,Cloris Leachman,True,True,Cloris Leachman,Cloris Leachman
7,7,percentage,Susan Lucci,Susan Lucci,Susan Lucci,Cody Linley,Cody Linley,True,True,Cody Linley,Cody Linley
7,8,percentage,Maurice Greene,Maurice Greene,Maurice Greene,Maurice Greene,Maurice Greene,True,True,Maurice Greene,Maurice Greene
7,9,percentage,Cody Linley,Cody Linley,Cody Linley,Cody Linley,Cody Linley,True,True,Cody Linley,Cody Linley
7,10,percentage,,Lance Bass,Lance Bass,Lance Bass,Lance Bass,False,False,Lance Bass,Lance Bass
8,1,percentage,,Steve Wozniak,Lawrence Taylor,Steve Wozniak,Steve Wozniak,False,False,Steve Wozniak,Steve Wozniak
8,2,percentage,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle,Steve Wozniak,Belinda Carlisle,True,True,Steve Wozniak,Belinda Carlisle
8,3,percentage,Denise Richards,Denise Richards,Denise Richards,Steve Wozniak,Denise Richards,True,True,Steve Wozniak,Denise Richards
8,4,percentage,Steve Wozniak,Steve Wozniak,Steve Wozniak,Steve Wozniak,Steve Wozniak,True,True,Steve Wozniak,Steve Wozniak
8,5,percentage,David Alan Grier,David Alan Grier,David Alan Grier,Lawrence Taylor,Lawrence Taylor,True,True,Lawrence Taylor,Lawrence Taylor
8,6,percentage,Steve-O,Steve-O,Steve-O,Steve-O,Steve-O,True,True,Steve-O,Steve-O
8,7,percentage,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,True,True,Lawrence Taylor,Lawrence Taylor
8,8,percentage,Chuck Wicks,Chuck Wicks,Chuck Wicks,Melissa Rycroft,Chuck Wicks,True,True,Melissa Rycroft,Chuck Wicks
8,9,percentage,Lil' Kim,Lil' Kim,Lil' Kim,Ty Murray,Lil' Kim,True,True,Ty Murray,Lil' Kim
8,10,percentage,Ty Murray,Ty Murray,Ty Murray,Ty Murray,Ty Murray,True,True,Ty Murray,Ty Murray
8,11,percentage,,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,False,False,Melissa Rycroft,Melissa Rycroft
9,1,percentage,Ashley Hamiliton,Macy Gray,Macy Gray,Macy Gray,Macy Gray,False,False,Macy Gray,Macy Gray
9,2,percentage,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland,True,True,Kathy Ireland,Kathy Ireland
9,3,percentage,Debi Mazar,Debi Mazar,Debi Mazar,Tom DeLay,Debi Mazar,True,True,Tom DeLay,Debi Mazar
9,4,percentage,Chuck Liddell,Chuck Liddell,Chuck Liddell,Louie Vito,Chuck Liddell,True,True,Louie Vito,Chuck Liddell
9,5,percentage,Natalie Coughlin,Natalie Coughlin,Natalie Coughlin,Michael Irvin,Natalie Coughlin,True,True,Michael Irvin,Natalie Coughlin
9,6,percentage,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,True,True,Melissa Joan Hart,Melissa Joan Hart
9,7,percentage,Mark Dacascos,Mark Dacascos,Mark Dacascos,Mark Dacascos,Mark Dacascos,True,True,Mark Dacascos,Mark Dacascos
9,8,percentage,Aaron Carter,Aaron Carter,Aaron Carter,Aaron Carter,Aaron Carter,True,True,Aaron Carter,Aaron Carter
9,9,percentage,Joanna Krupa,Joanna Krupa,Joanna Krupa,Donny Osmond,Donny Osmond,True,True,Donny Osmond,Donny Osmond
9,10,percentage,,Kelly Osbourne,Mya,Kelly Osbourne,Kelly Osbourne,False,False,Kelly Osbourne,Kelly Osbourne
10,1,percentage,,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,False,False,Buzz Aldrin,Buzz Aldrin
10,2,percentage,Shannen Doherty,Shannen Doherty,Shannen Doherty,Buzz Aldrin,Shannen Doherty,True,True,Buzz Aldrin,Shannen Doherty
10,3,percentage,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,True,True,Buzz Aldrin,Buzz Aldrin
10,4,percentage,Aiden Turner,Aiden Turner,Aiden Turner,Kate Gosselin,Aiden Turner,True,True,Kate Gosselin,Aiden Turner
10,5,percentage,Kate Gosselin,Kate Gosselin,Kate Gosselin,Kate Gosselin,Kate Gosselin,True,True,Kate Gosselin,Kate Gosselin
10,6,percentage,Jake Pavelka,Jake Pavelka,Jake Pavelka,Jake Pavelka,Jake Pavelka,True,True,Jake Pavelka,Jake Pavelka
10,7,percentage,Pamela Anderson,Pamela Anderson,Pamela Anderson,Niecy Nash,Niecy Nash,True,True,Niecy Nash,Niecy Nash
10,8,percentage,Niecy Nash,Niecy Nash,Niecy Nash,Niecy Nash,Niecy Nash,True,True,Niecy Nash,Niecy Nash
10,9,percentage,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,True,True,Chad Ochocinco,Chad Ochocinco
10,10,percentage,,Erin Andrews,Erin Andrews,Evan Lysacek,Evan Lysacek,False,False,Evan Lysacek,Evan Lysacek
11,1,percentage,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,True,True,David Hasselhoff,David Hasselhoff
11,2,percentage,Michael Bolton,Michael Bolton,Michael Bolton,Michael Bolton,Michael Bolton,True,True,Michael Bolton,Michael Bolton
11,3,percentage,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho,True,True,Margaret Cho,Margaret Cho
11,4,percentage,The Situation,The Situation,The Situation,The Situation,The Situation,True,True,The Situation,The Situation
11,5,percentage,Florence Henderson,Florence Henderson,Florence Henderson,Bristol Palin,Florence Henderson,True,True,Bristol Palin,Florence Henderson
11,6,percentage,Audrina Patridge,Audrina Patridge,Audrina Patridge,Kurt Warner,Bristol Palin,True,True,Kurt Warner,Bristol Palin
11,7,percentage,Rick Fox,Rick Fox,Rick Fox,Bristol Palin,Bristol Palin,True,True,Bristol Palin,Bristol Palin
11,8,percentage,Kurt Warner,Kurt Warner,Kurt Warner,Bristol Palin,Kurt Warner,True,True,Bristol Palin,Kurt Warner
11,9,percentage,Brandy,Brandy,Brandy,Brandy,Brandy,True,True,Brandy,Brandy
11,10,percentage,,Bristol Palin,Bristol Palin,Bristol Palin,Bristol Palin,False,False,Bristol Palin,Bristol Palin
12,1,percentage,,Mike Catherwood,Sugar Ray Leonard,Mike Catherwood,Wendy Williams,False,False,Mike Catherwood,Wendy Williams
12,2,percentage,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood,True,True,Mike Catherwood,Mike Catherwood
12,3,percentage,Wendy Williams,Wendy Williams,Wendy Williams,Wendy Williams,Wendy Williams,True,True,Wendy Williams,Wendy Williams
12,4,percentage,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,Kendra Wilkinson,Sugar Ray Leonard,True,True,Kendra Wilkinson,Sugar Ray Leonard
12,5,percentage,Petra Nemcova,Petra Nemcova,Petra Nemcova,Petra Nemcova,Petra Nemcova,True,True,Petra Nemcova,Petra Nemcova
12,6,percentage,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho,True,True,Chris Jericho,Chris Jericho
12,7,percentage,Kendra Wilkinson,Kendra Wilkinson,Romeo,Romeo,Romeo,True,False,Romeo,Romeo
12,8,percentage,Romeo,Romeo,Romeo,Ralph Macchio,Romeo,True,True,Ralph Macchio,Romeo
12,9,percentage,Ralph Macchio,Ralph Macchio,Ralph Macchio,Ralph Macchio,Ralph Macchio,True,True,Ralph Macchio,Ralph Macchio
12,10,percentage,,Kirstie Alley,Kirstie Alley,Kirstie Alley,Kirstie Alley,False,False,Kirstie Alley,Kirstie Alley
13,1,percentage,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),True,True,Metta World Peace (Ron),Metta World Peace (Ron)
13,2,percentage,Elisabetta Canalis,Elisabetta Canalis,Carson Kressley,Carson Kressley,Carson Kressley,True,False,Carson Kressley,Carson Kressley
13,3,percentage,Kristin Cavallari,Kristin Cavallari,Kristin Cavallari,Chaz Bono,Kristin Cavallari,True,True,Chaz Bono,Kristin Cavallari
13,4,percentage,Chynna Phillips,Chynna Phillips,Chynna Phillips,Chynna Phillips,Chynna Phillips,True,True,Chynna Phillips,Chynna Phillips
13,5,percentage,Carson Kressley,Carson Kressley,Carson Kressley,Carson Kressley,Carson Kressley,True,True,Carson Kressley,Carson Kressley
13,6,percentage,Chaz Bono,Chaz Bono,Chaz Bono,Chaz Bono,Chaz Bono,True,True,Chaz Bono,Chaz Bono
13,7,percentage,David Arquette,David Arquette,David Arquette,Nancy Grace,David Arquette,True,True,Nancy Grace,David Arquette
13,8,percentage,Nancy Grace,Nancy Grace,Nancy Grace,Nancy Grace,Nancy Grace,True,True,Nancy Grace,Nancy Grace
13,9,percentage,Hope Solo,Hope Solo,Hope Solo,Hope Solo,Hope Solo,True,True,Hope Solo,Hope Solo
13,10,percentage,,Ricki Lake,Ricki Lake,Ricki Lake,Ricki Lake,False,False,Ricki Lake,Ricki Lake
14,1,percentage,,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,False,False,Martina Navratilova,Martina Navratilova
14,2,percentage,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,True,True,Martina Navratilova,Martina Navratilova
14,3,percentage,Jack Wagner,Jack Wagner,Jack Wagner,Jack Wagner,Jack Wagner,True,True,Jack Wagner,Jack Wagner
14,4,percentage,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,True,True,Sherri Sheperd,Sherri Sheperd
14,5,percentage,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,True,True,Gavin DeGraw,Gavin DeGraw
14,6,percentage,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,True,True,Gladys Knight,Gladys Knight
14,7,percentage,Jaleel White,Jaleel White,Jaleel White,Melissa Gilbert,Jaleel White,True,True,Melissa Gilbert,Jaleel White
14,8,percentage,Roshon Fegan,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,False,False,Melissa Gilbert,Melissa Gilbert
14,9,percentage,Maria Menounos,Maria Menounos,Katherine Jenkins,Katherine Jenkins,Katherine Jenkins,True,False,Katherine Jenkins,Katherine Jenkins
14,10,percentage,,Donald Driver,Donald Driver,Donald Driver,Donald Driver,False,False,Donald Driver,Donald Driver
15,1,percentage,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,True,True,Pamela Anderson,Pamela Anderson
15,2,percentage,Joey Fatone,Joey Fatone,Joey Fatone,Bristol Palin,Kirstie Alley,True,True,Bristol Palin,Kirstie Alley
15,3,percentage,Helio Castroneves,Drew Lachey,Drew Lachey,Drew Lachey,Drew Lachey,False,False,Drew Lachey,Drew Lachey
15,4,percentage,Bristol Palin,Bristol Palin,Bristol Palin,Kirstie Alley,Bristol Palin,True,True,Kirstie Alley,Bristol Palin
15,5,percentage,,Kelly Monaco,Kelly Monaco,Kelly Monaco,Kelly Monaco,False,False,Kelly Monaco,Kelly Monaco
15,6,percentage,Sabrina Bryan,Sabrina Bryan,Shawn Johnson,Gilles Marini,Gilles Marini,True,False,Gilles Marini,Gilles Marini
15,7,percentage,,Kirstie Alley,Apolo Anton Ohno,Kirstie Alley,Apolo Anton Ohno,False,False,Kirstie Alley,Apolo Anton Ohno
15,8,percentage,Gilles Marini,Kirstie Alley,Kirstie Alley,Kirstie Alley,Kirstie Alley,False,False,Kirstie Alley,Kirstie Alley
15,9,percentage,Apolo Anton Ohno,Emmitt Smith,Emmitt Smith,Emmitt Smith,Emmitt Smith,False,False,Emmitt Smith,Emmitt Smith
15,10,percentage,,Kelly Monaco,Kelly Monaco,Kelly Monaco,Shawn Johnson,False,False,Kelly Monaco,Shawn Johnson
16,1,percentage,,D. L. Hughley,Lisa Vanderpump,D. L. Hughley,Andy Dick,False,False,D. L. Hughley,Andy Dick
16,2,percentage,,Dorothy Hamill,Lisa Vanderpump,Dorothy Hamill,Lisa Vanderpump,False,False,Dorothy Hamill,Lisa Vanderpump
16,3,percentage,Wynonna Judd,Wynonna Judd,Wynonna Judd,Wynonna Judd,Wynonna Judd,True,True,Wynonna Judd,Wynonna Judd
16,4,percentage,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,True,True,Lisa Vanderpump,Lisa Vanderpump
16,5,percentage,D. L. Hughley,D. L. Hughley,D. L. Hughley,D. L. Hughley,D. L. Hughley,True,True,D. L. Hughley,D. L. Hughley
16,6,percentage,Victor Ortiz,Victor Ortiz,Victor Ortiz,Victor Ortiz,Victor Ortiz,True,True,Victor Ortiz,Victor Ortiz
16,7,percentage,Andy Dick,Andy Dick,Andy Dick,Andy Dick,Andy Dick,True,True,Andy Dick,Andy Dick
16,8,percentage,Sean Lowe,Sean Lowe,Sean Lowe,Sean Lowe,Sean Lowe,True,True,Sean Lowe,Sean Lowe
16,9,percentage,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,True,True,Ingo Rademacher,Ingo Rademacher
16,10,percentage,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,Jacoby Jones,True,True,Alexandra Raisman,Jacoby Jones
17,1,percentage,,Bill Nye,Bill Nye,Bill Nye,Bill Nye,False,False,Bill Nye,Bill Nye
17,2,percentage,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,Bill Nye,Keyshawn Johnson,True,True,Bill Nye,Keyshawn Johnson
17,3,percentage,Bill Nye,Bill Nye,Bill Nye,Bill Nye,Bill Nye,True,True,Bill Nye,Bill Nye
17,4,percentage,Valerie Harper,Valerie Harper,Valerie Harper,Valerie Harper,Valerie Harper,True,True,Valerie Harper,Valerie Harper
17,5,percentage,Christina Milian,Christina Milian,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,True,False,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren
17,6,percentage,,Bill Engvall,Jack Osbourne,Bill Engvall,Jack Osbourne,False,False,Bill Engvall,Jack Osbourne
17,7,percentage,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",Bill Engvall,Leah Remini,True,True,Bill Engvall,Leah Remini
17,8,percentage,Brant Daugherty,Brant Daugherty,Brant Daugherty,Elizabeth Berkley Lauren,Brant Daugherty,True,True,Elizabeth Berkley Lauren,Brant Daugherty
17,9,percentage,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Bill Engvall,Leah Remini,True,True,Bill Engvall,Leah Remini
17,10,percentage,Leah Remini,Leah Remini,Leah Remini,Bill Engvall,Leah Remini,True,True,Bill Engvall,Leah Remini
17,11,percentage,Bill Engvall,Bill Engvall,Bill Engvall,Bill Engvall,Bill Engvall,True,True,Bill Engvall,Bill Engvall
18,1,percentage,,Billy Dee Williams,James Maslow,Billy Dee Williams,James Maslow,False,False,Billy Dee Williams,James Maslow
18,2,percentage,Sean Avery,Sean Avery,Sean Avery,Billy Dee Williams,Sean Avery,True,True,Billy Dee Williams,Sean Avery
18,3,percentage,,Drew Carey,Drew Carey,Drew Carey,Drew Carey,False,False,Drew Carey,Drew Carey
18,4,percentage,,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,False,False,Candace Cameron Bure,Candace Cameron Bure
18,5,percentage,Cody Simpson,Cody Simpson,Cody Simpson,Drew Carey,Cody Simpson,True,True,Drew Carey,Cody Simpson
18,6,percentage,Drew Carey,Drew Carey,Drew Carey,Drew Carey,Drew Carey,True,True,Drew Carey,Drew Carey
18,7,percentage,NeNe Leakes,NeNe Leakes,NeNe Leakes,NeNe Leakes,NeNe Leakes,True,True,NeNe Leakes,NeNe Leakes
18,8,percentage,Danica McKellar,Danica McKellar,Danica McKellar,Candace Cameron Bure,Candace Cameron Bure,True,True,Candace Cameron Bure,Candace Cameron Bure
18,9,percentage,Charlie White,Charlie White,Charlie White,Candace Cameron Bure,Candace Cameron Bure,True,True,Candace Cameron Bure,Candace Cameron Bure
18,10,percentage,James Maslow,James Maslow,James Maslow,Candace Cameron Bure,Candace Cameron Bure,True,True,Candace Cameron Bure,Candace Cameron Bure
19,1,percentage,Lolo Jones,Lolo Jones,Lolo Jones,Betsey Johnson,Lolo Jones,True,True,Betsey Johnson,Lolo Jones
19,2,percentage,Tavis Smiley,Tavis Smiley,Tavis Smiley,Michael Waltrip,Tavis Smiley,True,True,Michael Waltrip,Tavis Smiley
19,3,percentage,Randy Couture,Randy Couture,Randy Couture,Randy Couture,Randy Couture,True,True,Randy Couture,Randy Couture
19,4,percentage,Betsey Johnson,Betsey Johnson,Betsey Johnson,Michael Waltrip,Betsey Johnson,True,True,Michael Waltrip,Betsey Johnson
19,5,percentage,,Michael Waltrip,Michael Waltrip,Michael Waltrip,Michael Waltrip,False,False,Michael Waltrip,Michael Waltrip
19,6,percentage,Jonathan Bennett,Jonathan Bennett,Jonathan Bennett,Tommy Chong,Tommy Chong,True,True,Tommy Chong,Tommy Chong
19,7,percentage,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,True,True,Antonio Sabato Jr.,Antonio Sabato Jr.
19,8,percentage,Michael Waltrip,Michael Waltrip,Michael Waltrip,Michael Waltrip,Michael Waltrip,True,True,Michael Waltrip,Michael Waltrip
19,9,percentage,Lea Thompson,Lea Thompson,Lea Thompson,Tommy Chong,Lea Thompson,True,True,Tommy Chong,Lea Thompson
19,10,percentage,Tommy Chong,Tommy Chong,Tommy Chong,Tommy Chong,Tommy Chong,True,True,Tommy Chong,Tommy Chong
19,11,percentage,Bethany Mota,Bethany Mota,Bethany Mota,Bethany Mota,Bethany Mota,True,True,Bethany Mota,Bethany Mota
20,1,percentage,,Charlotte McKinney,Patti LaBelle,Charlotte McKinney,Patti LaBelle,False,False,Charlotte McKinney,Patti LaBelle
20,2,percentage,Redfoo,Redfoo,Redfoo,Chris Soules,Redfoo,True,True,Chris Soules,Redfoo
20,3,percentage,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,True,True,Charlotte McKinney,Charlotte McKinney
20,4,percentage,Michael Sam,Michael Sam,Michael Sam,Chris Soules,Chris Soules,True,True,Chris Soules,Chris Soules
20,5,percentage,Suzanne Somers,Suzanne Somers,Suzanne Somers,Patti LaBelle,Patti LaBelle,True,True,Patti LaBelle,Patti LaBelle
20,6,percentage,Patti LaBelle,Patti LaBelle,Patti LaBelle,Robert Herjavec,Robert Herjavec,True,True,Robert Herjavec,Robert Herjavec
