season,week,rule_used,actual_eliminated,elim_under_pct,elim_under_rank,elim_judge_choice_pct,elim_judge_choice_rank,match_same_method,match_cross_method
3,8,percentage,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman,True,True
3,9,percentage,,Joey Lawrence,Emmitt Smith,Joey Lawrence,Emmitt Smith,False,False
3,10,percentage,,Emmitt Smith,Emmitt Smith,Emmitt Smith,Emmitt Smith,False,False
4,1,percentage,,Billy Ray Cyrus,Shandi Finnessey,Billy Ray Cyrus,Heather Mills,False,False
4,2,percentage,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,Clyde Drexler,Paulina Porizkova,True,True
4,3,percentage,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,Clyde Drexler,Shandi Finnessey,True,True
4,4,percentage,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,Clyde Drexler,Clyde Drexler,True,True
4,5,percentage,Clyde Drexler,Clyde Drexler,Clyde Drexler,Clyde Drexler,Clyde Drexler,True,True
4,6,percentage,Heather Mills,Heather Mills,Heather Mills,John Ratzenberger,Heather Mills,True,True
4,7,percentage,John Ratzenberger,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,John Ratzenberger,True,True
4,8,percentage,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,True,True
4,9,percentage,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering,True,True
4,10,percentage,,Laila Ali,Laila Ali,Laila Ali,Laila Ali,False,False
5,1,percentage,Josie Maran,Josie Maran,Josie Maran,Josie Maran,Josie Maran,True,True
5,2,percentage,Albert Reed,Albert Reed,Albert Reed,Wayne Newton,Albert Reed,True,True
5,3,percentage,Wayne Newton,Wayne Newton,Wayne Newton,Wayne Newton,Wayne Newton,True,True
5,4,percentage,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Mark Cuban,Floyd Mayweather Jr. ,True,True
5,5,percentage,Mark Cuban,Mark Cuban,Mark Cuban,Mark Cuban,Mark Cuban,True,True
5,6,percentage,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,Jane Seymour,Jane Seymour,True,True
5,7,percentage,Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour,True,True
5,8,percentage,Cameron Mathison,Cameron Mathison,Cameron Mathison,Jennie Garth,Jennie Garth,True,True
5,9,percentage,Jennie Garth,Jennie Garth,Jennie Garth,Marie Osmond,Marie Osmond,True,True
5,10,percentage,,Marie Osmond,Helio Castroneves,Marie Osmond,Marie Osmond,False,False
6,1,percentage,,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,False,False
6,2,percentage,Monica Seles,Monica Seles,Monica Seles,Monica Seles,Monica Seles,True,True
6,3,percentage,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,Marissa Jaret Winokur,Steve Guttenberg,True,True
6,4,percentage,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,True,True
6,5,percentage,Priscilla Presley,Priscilla Presley,Priscilla Presley,Priscilla Presley,Priscilla Presley,True,True
6,6,percentage,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin,True,True
6,7,percentage,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,Cristian de la Fuente,Shannon Elizabeth,True,True
6,8,percentage,Mario,Mario,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,False
6,9,percentage,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,True
6,10,percentage,,Cristian de la Fuente,Cristian de la Fuente,Cristian de la Fuente,Cristian de la Fuente,False,False
7,1,percentage,Ted McGinley,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,False,False
7,2,percentage,Kim Kardashian,Kim Kardashian,Kim Kardashian,Cloris Leachman,Kim Kardashian,True,True
7,3,percentage,,Cloris Leachman,Rocco DiSpirito,Cloris Leachman,Rocco DiSpirito,False,False
7,4,percentage,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,True,True
7,5,percentage,Toni Braxton,Toni Braxton,Toni Braxton,Toni Braxton,Lance Bass,True,True
7,6,percentage,Cloris Leachman,Cloris Leachman,Cloris Leachman,Cloris Leachman,Cloris Leachman,True,True
7,7,percentage,Susan Lucci,Susan Lucci,Susan Lucci,Cody Linley,Cody Linley,True,True
7,8,percentage,Maurice Greene,Maurice Greene,Maurice Greene,Maurice Greene,Maurice Greene,True,True
7,9,percentage,Cody Linley,Cody Linley,Cody Linley,Cody Linley,Cody Linley,True,True
7,10,percentage,,Lance Bass,Lance Bass,Lance Bass,Lance Bass,False,False
8,1,percentage,,Steve Wozniak,Lawrence Taylor,Steve Wozniak,Steve Wozniak,False,False
8,2,percentage,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle,Steve Wozniak,Belinda Carlisle,True,True
8,3,percentage,Denise Richards,Denise Richards,Denise Richards,Steve Wozniak,Denise Richards,True,True
8,4,percentage,Steve Wozniak,Steve Wozniak,Steve Wozniak,Steve Wozniak,Steve Wozniak,True,True
8,5,percentage,David Alan Grier,David Alan Grier,David Alan Grier,Lawrence Taylor,Lawrence Taylor,True,True
8,6,percentage,Steve-O,Steve-O,Steve-O,Steve-O,Steve-O,True,True
8,7,percentage,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,True,True
8,8,percentage,Chuck Wicks,Chuck Wicks,Chuck Wicks,Melissa Rycroft,Chuck Wicks,True,True
8,9,percentage,Lil' Kim,Lil' Kim,Lil' Kim,Ty Murray,Lil' Kim,True,True
8,10,percentage,Ty Murray,Ty Murray,Ty Murray,Ty Murray,Ty Murray,True,True
8,11,percentage,,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,False,False
9,1,percentage,Ashley Hamiliton,Macy Gray,Macy Gray,Macy Gray,Macy Gray,False,False
9,2,percentage,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland,True,True
9,3,percentage,Debi Mazar,Debi Mazar,Debi Mazar,Tom DeLay,Debi Mazar,True,True
9,4,percentage,Chuck Liddell,Chuck Liddell,Chuck Liddell,Louie Vito,Chuck Liddell,True,True
9,5,percentage,Natalie Coughlin,Natalie Coughlin,Natalie Coughlin,Michael Irvin,Natalie Coughlin,True,True
9,6,percentage,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,True,True
9,7,percentage,Mark Dacascos,Mark Dacascos,Mark Dacascos,Mark Dacascos,Mark Dacascos,True,True
9,8,percentage,Aaron Carter,Aaron Carter,Aaron Carter,Aaron Carter,Aaron Carter,True,True
9,9,percentage,Joanna Krupa,Joanna Krupa,Joanna Krupa,Donny Osmond,Donny Osmond,True,True
9,10,percentage,,Kelly Osbourne,Mya,Kelly Osbourne,Kelly Osbourne,False,False
10,1,percentage,,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,False,False
10,2,percentage,Shannen Doherty,Shannen Doherty,Shannen Doherty,Buzz Aldrin,Shannen Doherty,True,True
10,3,percentage,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,True,True
10,4,percentage,Aiden Turner,Aiden Turner,Aiden Turner,Kate Gosselin,Aiden Turner,True,True
10,5,percentage,Kate Gosselin,Kate Gosselin,Kate Gosselin,Kate Gosselin,Kate Gosselin,True,True
10,6,percentage,Jake Pavelka,Jake Pavelka,Jake Pavelka,Jake Pavelka,Jake Pavelka,True,True
10,7,percentage,Pamela Anderson,Pamela Anderson,Pamela Anderson,Niecy Nash,Niecy Nash,True,True
10,8,percentage,Niecy Nash,Niecy Nash,Niecy Nash,Niecy Nash,Niecy Nash,True,True
10,9,percentage,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,True,True
10,10,percentage,,Erin Andrews,Erin Andrews,Evan Lysacek,Evan Lysacek,False,False
11,1,percentage,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,True,True
11,2,percentage,Michael Bolton,Michael Bolton,Michael Bolton,Michael Bolton,Michael Bolton,True,True
11,3,percentage,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho,True,True
11,4,percentage,The Situation,The Situation,The Situation,The Situation,The Situation,True,True
11,5,percentage,Florence Henderson,Florence Henderson,Florence Henderson,Bristol Palin,Florence Henderson,True,True
11,6,percentage,Audrina Patridge,Audrina Patridge,Audrina Patridge,Kurt Warner,Bristol Palin,True,True
11,7,percentage,Rick Fox,Rick Fox,Rick Fox,Bristol Palin,Bristol Palin,True,True
11,8,percentage,Kurt Warner,Kurt Warner,Kurt Warner,Bristol Palin,Kurt Warner,True,True
11,9,percentage,Brandy,Brandy,Brandy,Brandy,Brandy,True,True
11,10,percentage,,Bristol Palin,Bristol Palin,Bristol Palin,Bristol Palin,False,False
12,1,percentage,,Mike Catherwood,Sugar Ray Leonard,Mike Catherwood,Wendy Williams,False,False
12,2,percentage,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood,True,True
12,3,percentage,Wendy Williams,Wendy Williams,Wendy Williams,Wendy Williams,Wendy Williams,True,True
12,4,percentage,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,Kendra Wilkinson,Sugar Ray Leonard,True,True
12,5,percentage,Petra Nemcova,Petra Nemcova,Petra Nemcova,Petra Nemcova,Petra Nemcova,True,True
12,6,percentage,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho,True,True
12,7,percentage,Kendra Wilkinson,Kendra Wilkinson,Romeo,Romeo,Romeo,True,False
12,8,percentage,Romeo,Romeo,Romeo,Ralph Macchio,Romeo,True,True
12,9,percentage,Ralph Macchio,Ralph Macchio,Ralph Macchio,Ralph Macchio,Ralph Macchio,True,True
12,10,percentage,,Kirstie Alley,Kirstie Alley,Kirstie Alley,Kirstie Alley,False,False
13,1,percentage,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),True,True
13,2,percentage,Elisabetta Canalis,Elisabetta Canalis,Carson Kressley,Carson Kressley,Carson Kressley,True,False
13,3,percentage,Kristin Cavallari,Kristin Cavallari,Kristin Cavallari,Chaz Bono,Kristin Cavallari,True,True
13,4,percentage,Chynna Phillips,Chynna Phillips,Chynna Phillips,Chynna Phillips,Chynna Phillips,True,True
13,5,percentage,Carson Kressley,Carson Kressley,Carson Kressley,Carson Kressley,Carson Kressley,True,True
13,6,percentage,Chaz Bono,Chaz Bono,Chaz Bono,Chaz Bono,Chaz Bono,True,True
13,7,percentage,David Arquette,David Arquette,David Arquette,Nancy Grace,David Arquette,True,True
13,8,percentage,Nancy Grace,Nancy Grace,Nancy Grace,Nancy Grace,Nancy Grace,True,True
13,9,percentage,Hope Solo,Hope Solo,Hope Solo,Hope Solo,Hope Solo,True,True
13,10,percentage,,Ricki Lake,Ricki Lake,Ricki Lake,Ricki Lake,False,False
14,1,percentage,,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,False,False
14,2,percentage,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,True,True
14,3,percentage,Jack Wagner,Jack Wagner,Jack Wagner,Jack Wagner,Jack Wagner,True,True
14,4,percentage,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,True,True
14,5,percentage,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,True,True
14,6,percentage,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,True,True
14,7,percentage,Jaleel White,Jaleel White,Jaleel White,Melissa Gilbert,Jaleel White,True,True
14,8,percentage,Roshon Fegan,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,False,False
14,9,percentage,Maria Menounos,Maria Menounos,Katherine Jenkins,Katherine Jenkins,Katherine Jenkins,True,False
14,10,percentage,,Donald Driver,Donald Driver,Donald Driver,Donald Driver,False,False
15,1,percentage,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,True,True
15,2,percentage,Joey Fatone,Joey Fatone,Joey Fatone,Bristol Palin,Kirstie Alley,True,True
15,3,percentage,Helio Castroneves,Drew Lachey,Drew Lachey,Drew Lachey,Drew Lachey,False,False
15,4,percentage,Bristol Palin,Bristol Palin,Bristol Palin,Kirstie Alley,Bristol Palin,True,True
15,5,percentage,,Kelly Monaco,Kelly Monaco,Kelly Monaco,Kelly Monaco,False,False
15,6,percentage,Sabrina Bryan,Sabrina Bryan,Shawn Johnson,Gilles Marini,Gilles Marini,True,False
15,7,percentage,,Kirstie Alley,Apolo Anton Ohno,Kirstie Alley,Apolo Anton Ohno,False,False
15,8,percentage,Gilles Marini,Kirstie Alley,Kirstie Alley,Kirstie Alley,Kirstie Alley,False,False
15,9,percentage,Apolo Anton Ohno,Emmitt Smith,Emmitt Smith,Emmitt Smith,Emmitt Smith,False,False
15,10,percentage,,Kelly Monaco,Kelly Monaco,Kelly Monaco,Shawn Johnson,False,False
16,1,percentage,,D. L. Hughley,Lisa Vanderpump,D. L. Hughley,Andy Dick,False,False
16,2,percentage,,Dorothy Hamill,Lisa Vanderpump,Dorothy Hamill,Lisa Vanderpump,False,False
16,3,percentage,Wynonna Judd,Wynonna Judd,Wynonna Judd,Wynonna Judd,Wynonna Judd,True,True
16,4,percentage,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,True,True
16,5,percentage,D. L. Hughley,D. L. Hughley,D. L. Hughley,D. L. Hughley,D. L. Hughley,True,True
16,6,percentage,Victor Ortiz,Victor Ortiz,Victor Ortiz,Victor Ortiz,Victor Ortiz,True,True
16,7,percentage,Andy Dick,Andy Dick,Andy Dick,Andy Dick,Andy Dick,True,True
16,8,percentage,Sean Lowe,Sean Lowe,Sean Lowe,Sean Lowe,Sean Lowe,True,True
16,9,percentage,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,True,True
16,10,percentage,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,Jacoby Jones,True,True
17,1,percentage,,Bill Nye,Bill Nye,Bill Nye,Bill Nye,False,False
17,2,percentage,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,Bill Nye,Keyshawn Johnson,True,True
17,3,percentage,Bill Nye,Bill Nye,Bill Nye,Bill Nye,Bill Nye,True,True
17,4,percentage,Valerie Harper,Valerie Harper,Valerie Harper,Valerie Harper,Valerie Harper,True,True
17,5,percentage,Christina Milian,Christina Milian,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,True,False
17,6,percentage,,Bill Engvall,Jack Osbourne,Bill Engvall,Jack Osbourne,False,False
17,7,percentage,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",Bill Engvall,Leah Remini,True,True
17,8,percentage,Brant Daugherty,Brant Daugherty,Brant Daugherty,Elizabeth Berkley Lauren,Brant Daugherty,True,True
17,9,percentage,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Bill Engvall,Leah Remini,True,True
17,10,percentage,Leah Remini,Leah Remini,Leah Remini,Bill Engvall,Leah Remini,True,True
17,11,percentage,Bill Engvall,Bill Engvall,Bill Engvall,Bill Engvall,Bill Engvall,True,True
18,1,percentage,,Billy Dee Williams,James Maslow,Billy Dee Williams,James Maslow,False,False
18,2,percentage,Sean Avery,Sean Avery,Sean Avery,Billy Dee Williams,Sean Avery,True,True
18,3,percentage,,Drew Carey,Drew Carey,Drew Carey,Drew Carey,False,False
18,4,percentage,,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,False,False
18,5,percentage,Cody Simpson,Cody Simpson,Cody Simpson,Drew Carey,Cody Simpson,True,True
18,6,percentage,Drew Carey,Drew Carey,Drew Carey,Drew Carey,Drew Carey,True,True
18,7,percentage,NeNe Leakes,NeNe Leakes,NeNe Leakes,NeNe Leakes,NeNe Leakes,True,True
18,8,percentage,Danica McKellar,Danica McKellar,Danica McKellar,Candace Cameron Bure,Candace Cameron Bure,True,True
18,9,percentage,Charlie White,Charlie White,Charlie White,Candace Cameron Bure,Candace Cameron Bure,True,True
18,10,percentage,James Maslow,James Maslow,James Maslow,Candace Cameron Bure,Candace Cameron Bure,True,True
19,1,percentage,Lolo Jones,Lolo Jones,Lolo Jones,Betsey Johnson,Lolo Jones,True,True
19,2,percentage,Tavis Smiley,Tavis Smiley,Tavis Smiley,Michael Waltrip,Tavis Smiley,True,True
19,3,percentage,Randy Couture,Randy Couture,Randy Couture,Randy Couture,Randy Couture,True,True
19,4,percentage,Betsey Johnson,Betsey Johnson,Betsey Johnson,Michael Waltrip,Betsey Johnson,True,True
19,5,percentage,,Michael Waltrip,Michael Waltrip,Michael Waltrip,Michael Waltrip,False,False
19,6,percentage,Jonathan Bennett,Jonathan Bennett,Jonathan Bennett,Tommy Chong,Tommy Chong,True,True
19,7,percentage,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,True,True
19,8,percentage,Michael Waltrip,Michael Waltrip,Michael Waltrip,Michael Waltrip,Michael Waltrip,True,True
19,9,percentage,Lea Thompson,Lea Thompson,Lea Thompson,Tommy Chong,Lea Thompson,True,True
19,10,percentage,Tommy Chong,Tommy Chong,Tommy Chong,Tommy Chong,Tommy Chong,True,True
19,11,percentage,Bethany Mota,Bethany Mota,Bethany Mota,Bethany Mota,Bethany Mota,True,True
20,1,percentage,,Charlotte McKinney,Patti LaBelle,Charlotte McKinney,Patti LaBelle,False,False
20,2,percentage,Redfoo,Redfoo,Redfoo,Chris Soules,Redfoo,True,True
20,3,percentage,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,True,True
20,4,percentage,Michael Sam,Michael Sam,Michael Sam,Chris Soules,Chris Soules,True,True
20,5,percentage,Suzanne Somers,Suzanne Somers,Suzanne Somers,Patti LaBelle,Patti LaBelle,True,True
20,6,percentage,Patti LaBelle,Patti LaBelle,Patti LaBelle,Robert Herjavec,Robert Herjavec,True,True
20,7,percentage,Willow Shields,Willow Shields,Rumer Willis,Robert Herjavec,Rumer Willis,True,False
20,8,percentage,Robert Herjavec,Robert Herjavec,Robert Herjavec,Robert Herjavec,Robert Herjavec,True,True
20,9,percentage,Nastia Liukin,Nastia Liukin,Nastia Liukin,Noah Galloway,Noah Galloway,True,True
20,10,percentage,,Noah Galloway,Rumer Willis,Noah Galloway,Noah Galloway,False,False
21,1,percentage,,Chaka Khan,Paula Deen,Kim Zolciak-Biermann,Chaka Khan,False,False
21,2,percentage,Victor Espinoza,Chaka Khan,Chaka Khan,Chaka Khan,Chaka Khan,False,False
21,3,percentage,,Paula Deen,Tamar Braxton,Paula Deen,Paula Deen,False,False
21,4,percentage,Gary Busey,Gary Busey,Gary Busey,Gary Busey,Gary Busey,True,True
21,5,percentage,,Paula Deen,Hayes Grier,Paula Deen,Tamar Braxton,False,False
21,6,percentage,Paula Deen,Paula Deen,Paula Deen,Paula Deen,Paula Deen,True,True
21,7,percentage,Hayes Grier,Hayes Grier,Alek Skarlatos,Alek Skarlatos,Alek Skarlatos,True,False
21,8,percentage,Andy Grammer,Andy Grammer,Andy Grammer,Andy Grammer,Andy Grammer,True,True
21,9,percentage,Alexa PenaVega,Alexa PenaVega,Tamar Braxton,Tamar Braxton,Tamar Braxton,True,False
21,10,percentage,,Nick Carter,Nick Carter,Nick Carter,Nick Carter,False,False
21,11,percentage,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,Alek Skarlatos,True,True
22,1,percentage,,Geraldo Rivera,Mischa Barton,Geraldo Rivera,Mischa Barton,False,False
22,2,percentage,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,True,True
22,3,percentage,Mischa Barton,Mischa Barton,Mischa Barton,Mischa Barton,Mischa Barton,True,True
22,4,percentage,Marla Maples,Marla Maples,Marla Maples,Jodie Sweetin,Marla Maples,True,True
22,5,percentage,,Antonio Brown,Doug Flutie,Antonio Brown,Doug Flutie,False,False
22,6,percentage,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,True,True
22,7,percentage,Kim Fields,Kim Fields,Kim Fields,Kim Fields,Kim Fields,True,True
22,8,percentage,Jodie Sweetin,Jodie Sweetin,Wanya Morris,Wanya Morris,Wanya Morris,True,False
22,9,percentage,Antonio Brown,Antonio Brown,Antonio Brown,Antonio Brown,Antonio Brown,True,True
22,10,percentage,,Ginger Zee,Nyle DiMarco,Ginger Zee,Ginger Zee,False,False
23,1,percentage,,Rick Perry,Jake T. Austin,Rick Perry,Jake T. Austin,False,False
23,2,percentage,Jake T. Austin,Jake T. Austin,Jake T. Austin,Rick Perry,Jake T. Austin,True,True
23,3,percentage,Rick Perry,Rick Perry,Rick Perry,Rick Perry,Rick Perry,True,True
23,4,percentage,Babyface,Babyface,Babyface,Babyface,Babyface,True,True
23,5,percentage,,Ryan Lochte,Amber Rose,Ryan Lochte,Amber Rose,False,False
23,6,percentage,Amber Rose,Amber Rose,Amber Rose,Amber Rose,Amber Rose,True,True
23,7,percentage,Maureen McCormick,Maureen McCormick,Maureen McCormick,Marilu Henner,Marilu Henner,True,True
23,8,percentage,Ryan Lochte,Ryan Lochte,Ryan Lochte,Terra Jole,Marilu Henner,True,True
23,9,percentage,Marilu Henner,Marilu Henner,Marilu Henner,Marilu Henner,Marilu Henner,True,True
23,10,percentage,Terra Jole,Terra Jole,James Hinchcliffe,James Hinchcliffe,James Hinchcliffe,True,False
23,11,percentage,Jana Kramer,Jana Kramer,Jana Kramer,Jana Kramer,Jana Kramer,True,True
24,1,percentage,,Chris Kattan,Charo,Chris Kattan,Chris Kattan,False,False
24,2,percentage,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,True,True
24,3,percentage,Charo,Charo,Charo,Charo,Charo,True,True
24,4,percentage,Mr. T,Mr. T,Mr. T,Mr. T,Mr. T,True,True
24,5,percentage,Erika Jayne,Erika Jayne,Erika Jayne,Bonner Bolton,Erika Jayne,True,True
24,6,percentage,Heather Morris,Heather Morris,Nancy Kerrigan,Nancy Kerrigan,Bonner Bolton,True,False
24,7,percentage,Nancy Kerrigan,Nick Viall,Nancy Kerrigan,Nick Viall,Nick Viall,False,True
24,8,percentage,Bonner Bolton,Bonner Bolton,Bonner Bolton,Bonner Bolton,Bonner Bolton,True,True
24,9,percentage,Simone Biles,Simone Biles,David Ross,David Ross,David Ross,True,False
24,10,percentage,,David Ross,Normani,David Ross,David Ross,False,False
25,1,percentage,,Barbara Corcoran,Drew Scott,Barbara Corcoran,Drew Scott,False,False
25,2,percentage,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,True,True
25,3,percentage,,Sasha Pieterse,Terrell Owens,Sasha Pieterse,Sasha Pieterse,False,False
25,4,percentage,Derek Fisher,Derek Fisher,Derek Fisher,Derek Fisher,Derek Fisher,True,True
25,5,percentage,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,Nick Lachey,Sasha Pieterse,True,True
25,6,percentage,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,True,True
25,7,percentage,Nikki Bella,Nikki Bella,Nikki Bella,Nikki Bella,Nikki Bella,True,True
25,8,percentage,Terrell Owens,Terrell Owens,Terrell Owens,Victoria Arlen,Terrell Owens,True,True
25,9,percentage,Victoria Arlen,Victoria Arlen,Victoria Arlen,Drew Scott,Frankie Muniz,True,True
25,10,percentage,Drew Scott,Drew Scott,Drew Scott,Drew Scott,Drew Scott,True,True
26,1,percentage,Jamie Anderson,Johnny Damon,Jamie Anderson,Johnny Damon,Johnny Damon,False,True
26,2,percentage,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,True
26,3,percentage,Jennie Finch Daigle,Jennie Finch Daigle,Chris Mazdzer,Jennie Finch Daigle,Jennie Finch Daigle,True,False
26,4,percentage,,Tonya Harding,Josh Norman,Tonya Harding,Tonya Harding,False,False
27,1,percentage,Nikki Glaser,Nikki Glaser,Nikki Glaser,Joe Amabile,Nikki Glaser,True,True
27,2,percentage,Danelle Umstead,Danelle Umstead,Danelle Umstead,Joe Amabile,Danelle Umstead,True,True
27,3,percentage,Nancy McKeon,Nancy McKeon,Nancy McKeon,John Schneider,John Schneider,True,True
27,4,percentage,Tinashe,Tinashe,Tinashe,Joe Amabile,DeMarcus Ware,True,True
27,5,percentage,,Joe Amabile,Joe Amabile,Joe Amabile,Joe Amabile,False,False
27,6,percentage,Mary Lou Retton,Mary Lou Retton,Mary Lou Retton,John Schneider,Mary Lou Retton,True,True
