frac_switch_pct,frac_switch_rank,robust_pct,robust_rank
0.055,0.105,0.945,0.895
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.555,0.52,0.44499999999999995,0.48
0.75,0.76,0.25,0.24
0.395,0.655,0.605,0.345
0.385,0.315,0.615,0.685
0.44,0.35,0.56,0.65
0.235,0.32,0.765,0.6799999999999999
0.095,0.16,0.905,0.84
0.03,0.025,0.97,0.975
0.035,0.015,0.965,0.985
0.01,0.09,0.99,0.91
0.0,0.0,1.0,1.0
0.24,0.225,0.76,0.775
0.615,0.565,0.385,0.43500000000000005
0.43,0.33,0.5700000000000001,0.6699999999999999
0.425,0.415,0.575,0.585
0.31,0.32,0.69,0.6799999999999999
0.315,0.305,0.685,0.6950000000000001
0.54,0.305,0.45999999999999996,0.6950000000000001
0.4,0.16,0.6,0.84
0.005,0.005,0.995,0.995
0.0,0.165,1.0,0.835
0.275,0.49,0.725,0.51
0.74,0.655,0.26,0.345
0.385,0.745,0.615,0.255
0.205,0.205,0.795,0.795
0.23,0.185,0.77,0.815
0.12,0.18,0.88,0.8200000000000001
0.06,0.055,0.94,0.945
0.035,0.39,0.965,0.61
0.005,0.005,0.995,0.995
0.0,0.0,1.0,1.0
0.54,0.76,0.45999999999999996,0.24
0.36,0.37,0.64,0.63
0.285,0.355,0.7150000000000001,0.645
0.32,0.175,0.6799999999999999,0.825
0.16,0.13,0.84,0.87
0.205,0.165,0.795,0.835
0.185,0.98,0.815,0.020000000000000018
0.075,0.435,0.925,0.565
0.0,0.02,1.0,0.98
0.0,0.0,1.0,1.0
0.33,0.47,0.6699999999999999,0.53
0.735,0.735,0.265,0.265
0.44,0.305,0.56,0.6950000000000001
0.18,0.27,0.8200000000000001,0.73
0.255,0.17,0.745,0.83
0.16,0.1,0.84,0.9
0.055,0.055,0.945,0.945
0.04,0.635,0.96,0.365
0.0,0.125,1.0,0.875
0.0,0.0,1.0,1.0
0.43,0.27,0.5700000000000001,0.73
0.375,0.25,0.625,0.75
0.44,0.635,0.56,0.365
0.31,0.53,0.69,0.47
0.29,0.425,0.71,0.575
0.095,0.12,0.905,0.88
0.02,0.04,0.98,0.96
0.055,0.005,0.945,0.995
0.0,0.005,1.0,0.995
0.0,0.0,1.0,1.0
0.44,0.07,0.56,0.9299999999999999
0.8,0.7,0.19999999999999996,0.30000000000000004
0.35,0.305,0.65,0.6950000000000001
0.355,0.64,0.645,0.36
0.315,0.165,0.685,0.835
0.165,0.155,0.835,0.845
0.085,0.17,0.915,0.83
0.105,0.025,0.895,0.975
0.435,0.005,0.565,0.995
0.0,0.445,1.0,0.5549999999999999
0.49,0.385,0.51,0.615
0.42,0.3,0.5800000000000001,0.7
0.49,0.71,0.51,0.29000000000000004
0.555,0.25,0.44499999999999995,0.75
0.255,0.23,0.745,0.77
0.77,0.575,0.22999999999999998,0.42500000000000004
0.29,0.98,0.71,0.020000000000000018
0.55,0.765,0.44999999999999996,0.235
0.485,0.005,0.515,0.995
0.445,0.0,0.5549999999999999,1.0
0.49,0.275,0.51,0.725
0.645,0.845,0.355,0.15500000000000003
0.735,0.88,0.265,0.12
0.31,0.245,0.69,0.755
0.27,0.17,0.73,0.83
0.21,0.21,0.79,0.79
0.12,0.04,0.88,0.96
0.005,0.175,0.995,0.825
0.005,0.02,0.995,0.98
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.62,0.67,0.38,0.32999999999999996
0.39,0.345,0.61,0.655
0.29,0.31,0.71,0.69
0.245,0.165,0.755,0.835
0.355,0.735,0.645,0.265
0.76,0.71,0.24,0.29000000000000004
0.21,0.53,0.79,0.47
0.11,0.07,0.89,0.9299999999999999
0.07,0.74,0.9299999999999999,0.26
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.665,0.955,0.33499999999999996,0.04500000000000004
0.32,0.355,0.6799999999999999,0.645
0.7,0.555,0.30000000000000004,0.44499999999999995
0.71,0.525,0.29000000000000004,0.475
0.265,0.13,0.735,0.87
0.155,0.075,0.845,0.925
0.07,0.06,0.9299999999999999,0.94
0.055,0.62,0.945,0.38
0.0,0.155,1.0,0.845
0.0,0.0,1.0,1.0
0.43,0.315,0.5700000000000001,0.685
0.48,0.36,0.52,0.64
0.355,0.215,0.645,0.785
0.355,0.53,0.645,0.47
0.52,0.53,0.48,0.47
0.345,0.76,0.655,0.24
0.235,0.145,0.765,0.855
0.025,0.1,0.975,0.9
0.09,0.0,0.91,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.745,0.805,0.255,0.19499999999999995
0.475,0.975,0.525,0.025000000000000022
0.315,0.3,0.685,0.7
0.275,0.44,0.725,0.56
0.285,0.59,0.7150000000000001,0.41000000000000003
0.19,0.195,0.81,0.8049999999999999
0.14,0.7,0.86,0.30000000000000004
0.53,0.01,0.47,0.99
0.0,0.64,1.0,0.36
0.385,0.54,0.615,0.45999999999999996
0.76,0.835,0.24,0.16500000000000004
0.55,0.385,0.44999999999999996,0.615
0.525,0.995,0.475,0.0050000000000000044
0.22,0.225,0.78,0.775
0.765,0.885,0.235,0.11499999999999999
0.145,0.255,0.855,0.745
0.215,0.54,0.785,0.45999999999999996
0.085,0.065,0.915,0.935
0.1,0.565,0.9,0.43500000000000005
0.525,0.415,0.475,0.585
0.0,0.77,1.0,0.22999999999999998
0.74,0.75,0.26,0.25
0.305,0.34,0.6950000000000001,0.6599999999999999
0.35,0.16,0.65,0.84
0.275,0.365,0.725,0.635
0.73,0.69,0.27,0.31000000000000005
0.19,0.125,0.81,0.875
0.565,0.57,0.43500000000000005,0.43000000000000005
0.065,0.625,0.935,0.375
0.47,0.0,0.53,1.0
0.485,0.665,0.515,0.33499999999999996
0.83,0.795,0.17000000000000004,0.20499999999999996
0.435,0.465,0.565,0.5349999999999999
0.42,0.32,0.5800000000000001,0.6799999999999999
0.515,0.28,0.485,0.72
0.78,0.655,0.21999999999999997,0.345
0.21,0.125,0.79,0.875
0.23,0.205,0.77,0.795
0.135,0.285,0.865,0.7150000000000001
0.03,0.005,0.97,0.995
0.01,0.805,0.99,0.19499999999999995
0.0,0.0,1.0,1.0
0.63,0.735,0.37,0.265
0.39,0.27,0.61,0.73
0.395,0.415,0.605,0.585
0.355,0.135,0.645,0.865
0.28,0.395,0.72,0.605
0.32,0.79,0.6799999999999999,0.20999999999999996
0.5,0.525,0.5,0.475
0.0,0.0,1.0,1.0
0.0,0.425,1.0,0.575
0.56,0.695,0.43999999999999995,0.30500000000000005
0.83,0.795,0.17000000000000004,0.20499999999999996
0.52,0.275,0.48,0.725
0.825,0.82,0.17500000000000004,0.18000000000000005
0.38,0.2,0.62,0.8
0.325,0.275,0.675,0.725
0.12,0.095,0.88,0.905
0.49,0.08,0.51,0.92
0.065,0.13,0.935,0.87
0.005,0.26,0.995,0.74
0.0,0.0,1.0,1.0
0.53,0.515,0.47,0.485
0.385,0.035,0.615,0.965
0.565,0.74,0.43500000000000005,0.26
0.575,0.855,0.42500000000000004,0.14500000000000002
0.475,0.295,0.525,0.7050000000000001
0.385,0.33,0.615,0.6699999999999999
0.365,0.3,0.635,0.7
0.4,0.995,0.6,0.0050000000000000044
0.475,0.585,0.525,0.41500000000000004
0.285,0.48,0.7150000000000001,0.52
0.52,0.505,0.48,0.495
0.245,0.125,0.755,0.875
0.425,0.345,0.575,0.655
0.745,0.71,0.255,0.29000000000000004
0.44,0.385,0.56,0.615
0.52,0.55,0.48,0.44999999999999996
0.28,0.275,0.72,0.725
0.685,0.595,0.31499999999999995,0.405
0.44,0.885,0.56,0.11499999999999999
0.36,0.44,0.64,0.56
0.2,0.165,0.8,0.835
0.03,0.1,0.97,0.9
0.225,0.045,0.775,0.955
0.615,0.34,0.385,0.6599999999999999
0.715,0.685,0.28500000000000003,0.31499999999999995
0.54,0.405,0.45999999999999996,0.595
0.43,0.465,0.5700000000000001,0.5349999999999999
0.46,0.385,0.54,0.615
0.445,0.345,0.5549999999999999,0.655
0.455,0.335,0.5449999999999999,0.665
0.37,0.235,0.63,0.765
0.285,0.275,0.7150000000000001,0.725
0.19,0.185,0.81,0.815
0.35,0.3,0.65,0.7
0.635,0.755,0.365,0.245
0.635,0.66,0.365,0.33999999999999997
0.38,0.335,0.62,0.665
0.54,0.84,0.45999999999999996,0.16000000000000003
0.61,0.475,0.39,0.525
0.54,0.89,0.45999999999999996,0.10999999999999999
0.405,0.245,0.595,0.755
0.36,0.155,0.64,0.845
0.47,0.24,0.53,0.76
0.34,0.23,0.6599999999999999,0.77
0.54,0.28,0.45999999999999996,0.72
0.54,0.41,0.45999999999999996,0.5900000000000001
0.535,0.485,0.46499999999999997,0.515
0.515,0.375,0.485,0.625
0.49,0.34,0.51,0.6599999999999999
0.51,0.35,0.49,0.65
0.485,0.32,0.515,0.6799999999999999
0.395,0.175,0.605,0.825
0.51,0.44,0.49,0.56
0.46,0.305,0.54,0.6950000000000001
0.66,0.495,0.33999999999999997,0.505
0.47,0.45,0.53,0.55
0.48,0.625,0.52,0.375
0.435,0.36,0.565,0.64
0.455,0.715,0.5449999999999999,0.28500000000000003
0.365,0.28,0.635,0.72
0.25,0.6,0.75,0.4
0.33,0.75,0.6699999999999999,0.25
0.23,0.135,0.77,0.865
0.09,0.08,0.91,0.92
0.51,0.695,0.49,0.30500000000000005
0.63,0.945,0.37,0.05500000000000005
0.785,0.655,0.21499999999999997,0.345
0.715,0.635,0.28500000000000003,0.365
0.555,0.48,0.44499999999999995,0.52
0.435,0.465,0.565,0.5349999999999999
0.505,0.225,0.495,0.775
0.365,0.585,0.635,0.41500000000000004
0.19,0.06,0.81,0.94
0.585,0.455,0.41500000000000004,0.5449999999999999
0.745,0.735,0.255,0.265
0.77,0.67,0.22999999999999998,0.32999999999999996
0.605,0.42,0.395,0.5800000000000001
0.505,0.395,0.495,0.605
0.45,0.875,0.55,0.125
0.665,0.6,0.33499999999999996,0.4
0.335,0.335,0.665,0.665
0.385,0.46,0.615,0.54
0.4,0.155,0.6,0.845
0.04,0.125,0.96,0.875
0.155,0.525,0.845,0.475
0.62,0.46,0.38,0.54
