season,week,rule_used,actual_eliminated,elim_under_pct,elim_under_rank,match_actual,match_same_method,match_cross_method,in_bottom2_pct,in_bottom2_rank
30,2,rank,Martin Kove,Martin Kove,Martin Kove,True,True,True,True,True
30,3,rank,Christine Chiu,Christine Chiu,Christine Chiu,True,True,True,True,True
30,4,rank,Brian Austin Green,Matt James,Brian Austin Green,True,True,False,True,True
30,5,rank,Melanie C,Melanie C,Melanie C,True,True,True,True,True
30,6,rank,Kenya Moore,Kenya Moore,Kenya Moore,True,True,True,True,True
30,7,rank,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,True,True,True,True
30,8,rank,Jimmie Allen,Jimmie Allen,Jimmie Allen,True,True,True,True,True
30,9,rank,Melora Hardin,Suni Lee,Melora Hardin,True,True,False,True,True
30,10,rank,,Cody Rigsby,Cody Rigsby,False,False,False,False,False
31,1,rank,Jason Lewis,Jason Lewis,Jason Lewis,True,True,True,True,True
31,2,rank,Teresa Giudice,Teresa Giudice,Teresa Giudice,True,True,True,True,True
31,3,rank,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,True,True,True,True,True
31,4,rank,Sam Champion,Sam Champion,Sam Champion,True,True,True,True,True
31,5,rank,Joseph Baena,Joseph Baena,Joseph Baena,True,True,True,True,True
31,6,rank,Jessie James Decker,Jessie James Decker,Jessie James Decker,True,True,True,True,True
31,7,rank,Jordin Sparks,Jordin Sparks,Jordin Sparks,True,True,True,True,True
31,8,rank,Heidi D'Amelio,Vinny Guadagnino,Heidi D'Amelio,True,True,False,True,True
31,9,rank,Trevor Donovan,Daniel Durant,Trevor Donovan,True,True,False,True,True
31,10,rank,,Shangela,Shangela,False,False,False,False,False
32,1,rank,Matt Walsh,Matt Walsh,Matt Walsh,True,True,True,True,True
32,2,rank,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,True,True,True,True,True
32,3,rank,Tyson Beckford,Tyson Beckford,Tyson Beckford,True,True,True,True,True
32,4,rank,Adrian Peterson,Adrian Peterson,Adrian Peterson,True,True,True,True,True
32,5,rank,Mira Sorvino,Mira Sorvino,Mira Sorvino,True,True,True,True,True
32,6,rank,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,True,True,True,True,True
32,7,rank,Lele Pons,Lele Pons,Jason Mraz,True,False,True,True,True
32,8,rank,Barry Williams,Barry Williams,Barry Williams,True,True,True,True,True
32,9,rank,Harry Jowsey,Harry Jowsey,Harry Jowsey,True,True,True,True,True
32,10,rank,,Alyson Hannigan,Jason Mraz,False,False,False,False,False
32,11,rank,,Alyson Hannigan,Jason Mraz,False,False,False,False,False
33,1,rank,,Eric Roberts,Eric Roberts,False,False,False,False,False
33,2,rank,Tori Spelling,Anna Delvey,Anna Delvey,False,False,False,True,True
33,3,rank,Eric Roberts,Reginald VelJohnson,Eric Roberts,True,True,False,True,True
33,4,rank,Brooks Nader,Brooks Nader,Brooks Nader,True,True,True,True,True
33,5,rank,Phaedra Parks,Phaedra Parks,Phaedra Parks,True,True,True,True,True
33,6,rank,Jenn Tran,Jenn Tran,Jenn Tran,True,True,True,True,True
33,7,rank,Dwight Howard ,Dwight Howard ,Dwight Howard ,True,True,True,True,True
33,8,rank,,Danny Amendola,Danny Amendola,False,False,False,False,False
33,9,rank,,Danny Amendola,Ilona Maher,False,False,False,False,False
34,1,rank,,Corey Feldman,Corey Feldman,False,False,False,False,False
34,2,rank,Corey Feldman,Corey Feldman,Corey Feldman,True,True,True,True,True
34,3,rank,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,True,True,True,True,True
34,4,rank,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,True,True,True,True,True
34,5,rank,,Andy Richter,Andy Richter,False,False,False,False,False
34,6,rank,Scott Hoying,Scott Hoying,Scott Hoying,True,True,True,True,True
